Url,Title,Purpose,Property_Price,District,Ad_Age_Date,Use Type
https://wasalt.sa/property/sale/فيلا-450-متر-مربع-شمالية-على-شارع-15م-5806882,فيلا 450 متر مربع شمالية على شارع 15م,للبيع,"4,500,000",الياسمين,2025-11-20,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5806096,شقة ب 3 غرف,للبيع,"1,770,000",حطين,2025-11-19,سكني
https://wasalt.sa/property/sale/شقة-ب-6-غرف-5803806,شقة ب 6 غرف,للبيع,"2,400,000",الياسمين,2025-11-17,سكني
https://wasalt.sa/property/sale/أرض-450-متر-مربع-شمالية-على-شارع-15م-5803213,أرض 450 متر مربع شمالية على شارع 15م,للبيع,"5,400,000",الملقا,2025-11-14,سكني
https://wasalt.sa/property/sale/أرض-3625-متر-مربع-شمالية-على-شارع-15م-5803123,أرض 362.5 متر مربع شمالية على شارع 15م,للبيع,"3,262,500",الياسمين,2025-11-14,سكني
https://wasalt.sa/property/sale/أرض-480-متر-مربع-شمالية-على-شارع-15م-5803041,أرض 480 متر مربع شمالية على شارع 15م,للبيع,"4,224,000",الياسمين,2025-11-14,سكني
https://wasalt.sa/property/sale/أرض-360-متر-مربع-جنوبية-على-شارع-15م-5803015,أرض 360 متر مربع جنوبية على شارع 15م,للبيع,"3,420,000",الياسمين,2025-11-14,سكني
https://wasalt.sa/property/sale/أرض-360-متر-مربع-جنوبية-على-شارع-15م-5802972,أرض 360 متر مربع جنوبية على شارع 15م,للبيع,"3,276,000",الياسمين,2025-11-13,سكني
https://wasalt.sa/property/sale/أرض-450-متر-مربع-غربية-على-شارع-20م-5802845,أرض 450 متر مربع غربية على شارع 20م,للبيع,"4,500,000",الملقا,2025-11-13,سكني
https://wasalt.sa/property/sale/أرض-550-متر-مربع-5803087,أرض 550 متر مربع,للبيع,"7,150,000",الملقا,2025-11-13,سكني
https://wasalt.sa/property/sale/فيلا-3375-متر-مربع-شرقية-على-شارع-14م-5801906,فيلا 337.5 متر مربع شرقية على شارع 14م,للبيع,"3,200,000",الياسمين,2025-11-12,سكني
https://wasalt.sa/property/sale/فيلا-525-متر-مربع-جنوبية-على-شارع-15م-5801533,فيلا 525 متر مربع جنوبية على شارع 15م,للبيع,"5,150,000",عرقة,2025-11-12,سكني
https://wasalt.sa/property/sale/أرض-3125-متر-مربع-جنوبية-على-شارع-20م-5813502,أرض 312.5 متر مربع جنوبية على شارع 20م,للبيع,"3,750,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-125-متر-مربع-بغرفتين-5792185,شقة 125 متر مربع بغرفتين,للبيع,"1,200,000",الملقا,2025-11-30,سكني
https://wasalt.sa/property/sale/أرض-377-متر-مربع-شمالية-على-شارع-20م-5809166,أرض 377 متر مربع شمالية على شارع 20م,للبيع,"3,468,400",الياسمين,2025-11-25,سكني
